'Zeta23.ThmD.Sextuple.Certificate.sextuple_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.zetaSextupleLedgerInterface' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.sextupleLowerConstant_gt_6727556' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.sextupleLowerConstant_gt_672755620655' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple_cumulative' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple_6727556' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple_cumulative_6727556' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple_672755620655' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta23.ThmD.Sextuple.thmD₀_sextuple_cumulative_672755620655' depends on axioms: [propext, Classical.choice, Quot.sound]
'sextuple_simple_on_critical_line_decimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'sextuple_simple_on_critical_line_cumulative_decimal' depends on axioms: [propext, Classical.choice, Quot.sound]
'sextuple_simple_on_critical_line_6727556' depends on axioms: [propext, Classical.choice, Quot.sound]
'sextuple_simple_on_critical_line_cumulative_6727556' depends on axioms: [propext, Classical.choice, Quot.sound]
